id,russian,type,gender,aspect,english,archived
317,успе́ть,verb,,perf,to manage; to have time,FALSE
318,смерть,noun,fem,,death,FALSE
319,власть,noun,fem,,power; authority,FALSE
320,ма́льчик,noun,masc,,boy,FALSE
321,та́кже,adv,,,also; as well,FALSE
322,брать,verb,,imp,to take,FALSE
323,о́браз,noun,masc,,image; form; way,FALSE
324,письмо́,noun,neut,,letter,FALSE
325,живо́й,adj,,,living; alive,FALSE
326,отноше́ние,noun,neut,,relationship; attitude,FALSE
327,се́рдце,noun,neut,,heart,FALSE
328,ко,prep,,,to (variant of к),FALSE
329,нача́льник,noun,masc,,boss; head; chief,FALSE
330,пройти́,verb,,perf,to pass; to go through,FALSE
331,начина́ть,verb,,imp,to begin; to start,FALSE
332,вокру́г,prep,,,around; round,FALSE
333,появи́ться,verb,,perf,to appear,FALSE
334,чёрный,adj,,,black,FALSE
335,де́вушка,noun,fem,,girl; young woman,FALSE
336,солдат,noun,masc,,soldier,FALSE
337,иногда́,adv,,,sometimes,FALSE
338,забы́ть,verb,,perf,to forget,FALSE
339,вспо́мнить,verb,,perf,to remember; to recall,FALSE
340,не́бо,noun,neut,,sky,FALSE
341,зате́м,adv,,,then; after that,FALSE
342,систе́ма,noun,fem,,system,FALSE
343,во́здух,noun,masc,,air,FALSE
344,о́ба,num,,,both,FALSE
345,со́бственный,adj,,,one's own; personal,FALSE
346,пыта́ться,verb,,imp,to try; to attempt,FALSE
347,находи́ться,verb,,imp,to be located,FALSE
348,держать,verb,,imp,to hold; to keep,FALSE
349,проси́ть,verb,,imp,to ask; to request,FALSE
350,показа́ть,verb,,perf,to show,FALSE
351,ра́зный,adj,,,different; various,FALSE
352,ребя́та,noun,plural,,lads; boys; guys,FALSE
353,брат,noun,masc,,brother,FALSE
354,кварти́ра,noun,fem,,flat; apartment,FALSE
355,отку́да,adv,,,from where; whence,FALSE
356,выходи́ть,verb,,imp,to go out; to exit,FALSE
357,четы́ре,num,,,four,FALSE
358,подня́ть,verb,,perf,to raise; to lift,FALSE
359,генера́л,noun,masc,,general,FALSE
360,называ́ть,verb,,imp,to call; to name,FALSE
361,тре́тий,adj,,,third,FALSE
362,посла́ть,verb,,perf,to send,FALSE
363,подойти́,verb,,perf,to approach,FALSE
364,рассказа́ть,verb,,perf,to tell; to narrate,FALSE
365,осо́бенно,adv,,,especially; particularly,FALSE
366,кровь,noun,fem,,blood,FALSE
367,встать,verb,,perf,to get up; to stand up,FALSE
368,шаг,noun,masc,,step,FALSE
369,спра́шивать,verb,,imp,to ask (repeatedly),FALSE
370,хозя́ин,noun,masc,,master; owner; host,FALSE
371,внима́ние,noun,neut,,attention,FALSE
372,сле́довать,verb,,imp,to follow,FALSE
373,поста́вить,verb,,perf,to put; to set; to place,FALSE
374,бро́сить,verb,,perf,to throw,FALSE
375,вро́де,prep,,,like; sort of,FALSE
376,вели́кий,adj,,,great,FALSE
377,наприме́р,adv,,,for example,FALSE
378,оста́вить,verb,,perf,to leave; to abandon,FALSE
379,туда́,adv,,,there; that way,FALSE
380,действи́тельно,adv,,,really; truly; indeed,FALSE
381,ма́ло,adv,,,little; not much,FALSE
382,шко́ла,noun,fem,,school,FALSE
383,равно́,adv,,,equally; all the same,FALSE
384,труд,noun,masc,,labour; work; effort,FALSE
385,капита́н,noun,masc,,captain,FALSE
386,сюда́,adv,,,here; this way,FALSE
387,сли́шком,adv,,,too; too much,FALSE
388,сле́дующий,adj,,,next; following,FALSE
389,тяжёлый,adj,,,heavy; difficult,FALSE
390,па́рень,noun,masc,,lad; fellow; guy,FALSE
391,гру́ппа,noun,fem,,group,FALSE
392,со́лнце,noun,neut,,sun,FALSE
393,любо́вь,noun,fem,,love,FALSE
394,отвеча́ть,verb,,imp,to answer; to reply,FALSE
395,у́хо,noun,neut,,ear,FALSE
396,уходи́ть,verb,,imp,to leave; to go away,FALSE
397,неде́ля,noun,fem,,week,FALSE
398,войти́,verb,,perf,to enter; to go in,FALSE
399,чтоб,conj,,,so that; in order to,FALSE
400,расска́зывать,verb,,imp,to tell; to narrate,FALSE
401,молча́ть,verb,,imp,to be silent,FALSE
402,отве́т,noun,masc,,answer; reply,FALSE
403,деся́ть,num,,,ten,FALSE
404,спать,verb,,imp,to sleep,FALSE
405,гото́вый,adj,,,ready; prepared,FALSE
406,явля́ться,verb,,imp,to be; to constitute,FALSE
407,два́дцать,num,,,twenty,FALSE
408,бе́рег,noun,masc,,bank; shore,FALSE
409,по́мощь,noun,fem,,help; assistance,FALSE
410,мужчи́на,noun,masc,,man,FALSE
411,моме́нт,noun,masc,,moment,FALSE
412,иска́ть,verb,,imp,to look for; to search,FALSE
413,останови́ться,verb,,perf,to stop,FALSE
414,ли́чный,adj,,,personal; private,FALSE
415,газе́та,noun,fem,,newspaper,FALSE
416,дли́нный,adj,,,long,FALSE
417,ви́дно,adv,,,evidently; apparently,FALSE
418,про́тив,prep,,,against; opposite,FALSE
419,ве́рить,verb,,imp,to believe,FALSE
420,чу́вство,noun,neut,,feeling; sense,FALSE
421,поря́док,noun,masc,,order,FALSE
422,семья́,noun,fem,,family,FALSE
423,а́рмия,noun,fem,,army,FALSE
424,немного,adv,,,a little; a bit,FALSE
425,игра́ть,verb,,imp,to play,FALSE
426,возможность,noun,fem,,possibility; opportunity,FALSE
427,си́льный,adj,,,strong; powerful,FALSE
428,разве́,part,,,really?; is it really so?,FALSE
429,впро́чем,adv,,,however; by the way,FALSE
430,станови́ться,verb,,imp,to become,FALSE
431,движе́ние,noun,neut,,movement; motion,FALSE
432,муж,noun,masc,,husband,FALSE
433,нос,noun,masc,,nose,FALSE
434,ти́хо,adv,,,quietly; softly,FALSE
435,знако́мый,adj,,,familiar; acquainted,FALSE
436,ого́нь,noun,masc,,fire,FALSE
437,двор,noun,masc,,yard; courtyard,FALSE
438,смочь,verb,,perf,to manage; to be able,FALSE
439,ино́й,adj,,,other; different,FALSE
440,бежа́ть,verb,,imp,to run,FALSE
